	ra	dec	mag	x	y	z
62030	3.3385113463082305	0.7930820801491084	5.42	-0.6880925251966695	-0.13727731066812002	0.712519204473956
62074	3.34063715733716	0.1339248032788864	5.22	-0.9714782347596883	-0.19596214708625725	0.1335248152874369
62075	3.3407041779804367	-1.0643247813056835	4.69	-0.47551010624728063	-0.09595348955657262	-0.8744615867484498
62127	3.3435305641711164	-1.1887109238901077	3.04	-0.3652799748633069	-0.07478208702834825	-0.9278890986661857
62132	3.343958606170167	-0.9859158122999607	4.62	-0.5408336392187283	-0.11096450755159655	-0.8337780596497237
62161	3.345124137044649	0.2893352903282313	5.12	-0.9386505505547793	-0.1937275657147392	0.28531521905683754
62228	3.349166319592268	1.165710713207939	5.43	-0.38563767421862866	-0.08121809260837907	0.9190686621010987
62239	3.3498171528703367	-1.0417654582458606	1.25	-0.49379545638507577	-0.10433145847011152	-0.863296585205197
62377	3.356398004081444	1.4558297610900708	5.38	-0.11207734986450668	-0.0244509673818728	0.9933986198105168
62487	3.3627526606214926	-0.5933997632798931	4.9	-0.808851905652982	-0.18186032181164855	-0.5591828127474082
62566	3.367170787089991	0.4806761027435125	4.93	-0.8642183739128378	-0.19832414689117087	0.46237877865591953
62670	3.373352656034093	-0.8542219935907286	4.33	-0.6392450474538046	-0.1508611123284943	-0.7540601395729603
62689	3.374139363194429	0.37079420474852165	4.89	-0.9069518503528051	-0.21479439564570996	0.3623557764695043
62699	3.3747530209594303	-0.7012536061373591	4.25	-0.7433598499370645	-0.17653350095357423	-0.6451759888143848
62757	3.3773356719200693	0.9766831252766657	1.76	-0.544290905062377	-0.130745931373225	0.8286452269190515
62785	3.3787512212098982	-0.166486852627984	4.77	-0.9585695572017765	-0.231693072059745	-0.16571881113955556
62803	3.3798039165482394	-0.9979430332550862	4.03	-0.5267260643918912	-0.12789989029487472	-0.8403578232829086
62805	3.3798958081333565	-0.9977815204861067	5.08	-0.5268462166812561	-0.1279802475918086	-0.8402702661614216
62807	3.3800628361427725	-1.0323046741426227	4.62	-0.4983286690840187	-0.12114093810019883	-0.8584832034962327
62831	3.381458226879742	-1.485683059440073	5.45	-0.08257607496760702	-0.020198659916621176	-0.9963800509747859
62866	3.3829892296995916	-0.7490208243034912	5.46	-0.7111214658076012	-0.17507573491129486	-0.6809219837198083
62876	3.383651843950111	1.1421168287807038	5.23	-0.40355190103272354	-0.09963698864524248	0.9095154389379999
62890	3.38420869124796	0.05929703773773174	3.39	-0.969006771710243	-0.23982046730336593	0.059262296969391184
62918	3.3857305310892367	-0.9919719477247484	5.34	-0.5308183317542918	-0.1322303774268374	-0.8371063408905387
62925	3.386062754512354	0.6687818950303447	2.89	-0.7612491877814923	-0.18989877519089374	0.6200307486593039
63008	3.3906193728569978	-0.8935867953120318	5.17	-0.607291378594323	-0.15443701990284384	-0.7793243152683837
63153	3.398697454766928	0.3038521536481567	4.76	-0.9228270201645358	-0.24263302802786918	0.2991981025412276
63230	3.4030425392062305	1.1623416692462292	5.37	-0.3836944399814711	-0.10266321038652236	0.917735714658876
63259	3.4045900353875114	0.5372999767455973	4.88	-0.8295539003609745	-0.22334360508435055	0.5118182885202714
63300	3.406566358966007	0.9837781853919955	4.93	-0.5345494829104598	-0.14505437207107344	0.8325959881378403
63405	3.41288959957952	0.19127325071993656	2.85	-0.945854228265069	-0.2630937285718466	0.1901090972553766
63411	3.4132773244728503	-1.2487630957820075	3.61	-0.30488484992326115	-0.08494048996158027	-0.9485938759302409
63521	3.418905225912369	-0.864413826304457	4.83	-0.624287778227435	-0.1777008362735049	-0.7607149155521733
63698	3.4284404832147892	0.6248086561389055	5.2	-0.7779350129712423	-0.22947739745567433	0.5849420823042255
63742	3.430787252927021	-0.8458439593955502	4.71	-0.6355639140941531	-0.18910271124658903	-0.7485310118495486
63801	3.4335460948756484	-0.87102831001025	4.27	-0.6167868060354477	-0.18536955842711397	-0.7649916095677963
63819	3.4347152909415595	0.4821426854606708	4.8	-0.8482120255447629	-0.25600480795091946	0.4636786581537514
63875	3.4378485060147397	-0.18745548260753914	5.15	-0.9396809972360366	-0.28682701695346136	-0.18635956047132785
63891	3.4388189963453106	-1.1398051227331447	5.44	-0.3994533649417183	-0.12235234449682578	-0.9085520970383969
63963	3.4428999252023247	-0.40348643820652547	4.94	-0.878264779377632	-0.272937485731264	-0.3926271847280261
64034	3.4468064956670634	-0.09667396180089112	4.38	-0.9493292336110518	-0.299094020083803	-0.09652343426112958
64037	3.4469735236764794	0.3059462869511621	4.32	-0.9094436798828732	-0.2866938995283847	0.30119561931460176
64144	3.453078685399956	-0.7569240416756645	5.24	-0.6919705756811306	-0.2227901761239437	-0.6866886192548898
64189	3.4552031874319455	0.4865660828235103	4.23	-0.8408314419939193	-0.2726886307658202	0.467593195850291
64202	3.45598780019718	-0.6597872011038518	4.85	-0.751394781757263	-0.24433531942188763	-0.6129487202294815
64203	3.4560095295463666	-0.282718921666846	5.04	-0.9132235553197298	-0.2969844738424759	-0.27896766892545144
64220	3.457032641553886	-1.0458113932513713	4.58	-0.476470920976972	-0.15548913625650998	-0.8653314913774725
64335	3.463238596041665	0.7008000474246433	4.94	-0.7251292305286399	-0.24162501438118997	0.6448293971727967
64372	3.4652712064885374	-0.3478606481904863	5.31	-0.8912863728604662	-0.29900568282062473	-0.34088737611446657
64378	3.465589816343489	-1.0315460493299506	4.9	-0.48677762872213937	-0.16346984904476805	-0.8580939043187125
64456	3.469930973791975	-1.1849841223383242	4.79	-0.35620930169779835	-0.12134855086412448	-0.9264930990499303
64520	3.473114977946388	-0.3480728104143587	5.21	-0.8888448691969626	-0.3059650048271398	-0.3410868134703579
64587	3.4765880086249314	0.16448255142157872	5.19	-0.9316653202390577	-0.324327488509759	0.16374190441303094
64598	3.477068934100318	-0.5498868549786674	5.1	-0.8050550930478861	-0.2806869612032846	-0.5225907834703223
64615	3.478515899316684	-1.1655908789014968	4.86	-0.3720438961264266	-0.1303186689072367	-0.9190214273287183
